label,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X
2,-7.124675028,-3.291221296,-1.989485515,-2.291030931,-1.612131607,-3.553735259,-2.642359709,-0.972590454,-1.451179838,0.886270427,1.428243496,0.384197566,0.272635762,0.449839188,-0.438460315,-0.969210635,-1.096621826,-0.423154939,1.116687883,0.343283748,-0.178810151,-2.127698602,-0.384930187,-0.190324063
2,-7.491168268,-3.876559747,-6.284460902,-4.831626883,0.013242458,-1.709236617,-0.067703826,-1.203381966,-2.086662073,-0.080728111,0.564717774,0.587704326,0.219998006,0.147151714,-1.245445788,-2.092988307,-2.6525813,1.692385927,1.979107829,0.741442859,-0.991283082,-1.792630995,-0.301473874,-0.164035009
2,-7.008073253,-3.046781147,-4.248054958,-2.737243248,-3.686215391,-2.438877798,-0.261207456,-1.572356203,-2.022178472,-0.182929337,1.22783024,0.780257028,0.261539049,0.118476485,-1.239770629,-1.931684284,-3.764433419,2.762212855,2.086969103,-0.147694781,-2.268968587,0.253816179,-0.590332378,0.193836521
2,-6.470520074,-2.935980946,-3.135171374,-3.86577332,-5.311435258,-1.020127887,-0.16591678,-0.484150274,-3.355926918,0.159881894,1.030825878,0.542446443,-0.504220209,0.179027267,-0.649080834,-0.621113251,-1.710088667,0.86225974,-0.365067997,-0.024725889,-0.692451216,1.450795382,0.753625591,0.114851434
2,-7.242690552,-3.583795969,-5.423786222,-5.671484139,-4.596442878,0.245029658,0.537200423,-1.553748472,-4.220000297,1.146689694,0.309690877,0.697581289,-0.774145399,0.080632292,-1.625420535,-0.818234748,2.095034733,1.356880044,-0.866078115,-0.295060794,1.563964893,1.677265192,0.01024035,-0.122043573
2,-8.130189931,-3.339511435,-6.670216521,-4.296176314,-2.0967768,-1.757800735,-1.01450976,-1.249774666,-2.026427984,1.430655447,2.154225842,0.801319347,0.293829623,0.473085638,0.712446445,0.710763679,2.028114603,0.371743441,-2.805924011,-0.351719677,3.113924755,0.801135059,0.491154091,-0.104368703
2,-7.339456422,-2.724067464,-4.918663187,-3.749393873,-2.150992521,-0.034721308,-1.136028139,-1.632135199,-0.340980599,1.697581674,0.681490783,0.467755216,0.681280915,0.697310087,4.183340001,0.337002877,-1.269785392,-2.418121857,-2.167758211,1.403052039,1.838173876,0.102787459,0.923344182,-0.246216153
2,-5.981392705,-2.656216741,-2.319063224,-3.760672934,-3.491988532,-0.322637242,-3.538188516,-0.972536425,-0.624549634,1.086138492,1.581657062,0.500806424,-0.124031978,-0.037550123,1.483852851,-0.980240075,-0.842585272,1.14309205,0.848638762,0.688614723,-0.539810259,-0.009089887,0.719624598,-0.21190207
2,-7.295167792,-2.879478186,-1.324352869,-5.433731513,-5.803515101,-4.099734874,-1.452597516,0.412210467,-2.163678658,1.47312936,1.98099154,0.478513521,-1.111133309,-0.780931173,-2.232200014,-0.581857438,1.300820503,2.708213379,0.404296175,-0.099646448,-1.213647932,-0.439033511,1.175185955,0.141205077
2,-8.338382213,-3.318131258,-6.241592404,-4.924367606,-1.534393418,1.989344123,0.416733072,-1.239025414,-1.924794344,1.529246774,2.583912361,0.478087089,-1.213142403,-0.086886542,-0.96173248,0.461095255,-0.044804093,0.233091308,1.151965339,-1.153274467,1.193967087,0.539421601,0.644418241,0.543854131
