label,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X
4,-1.217017482,1.080606606,1.841872375,3.502699677,2.147930239,1.671545483,2.870881956,2.221807557,2.004369265,1.179178989,1.033591689,0.233405116,-4.682594848,2.195207137,-1.271368418,5.057282143,2.120424172,5.98826329,5.661571062,4.083905797,3.493957437,3.215693354,1.650791649,0.653276583
4,-3.388706732,3.036554219,0.355659097,6.516009819,1.969106361,1.378186716,7.046694428,4.083722354,3.253499213,2.880133778,1.251122007,0.645978071,-6.406662077,0.90778753,1.02321481,3.606734561,2.670633197,3.463849616,1.91735951,4.580064565,5.742665567,4.466558762,1.83115715,0.547523167
4,-6.15672141,1.608502459,0.868304617,6.379805813,4.338421018,8.860073939,7.064056238,5.09134508,4.641450853,3.426653647,2.364468038,0.664856335,-7.077704472,-1.017716867,2.84004764,2.814878007,3.987949954,2.091393132,-0.33704227,3.84048646,5.536418658,3.911122262,1.027878862,0.327454193
4,-7.527673153,0.994359732,4.094927525,5.61930882,4.645664555,2.356544992,2.407697827,6.407172981,8.389982975,5.877141384,2.563720833,0.643122404,-6.428898183,-2.947009339,3.763226873,1.427816196,5.03162696,4.119297045,0.649081867,3.327061074,4.348425206,2.069087335,0.459666354,0.248972345
4,-9.764090981,0.575128549,4.232309621,8.173367186,6.791576072,4.319456043,4.684816851,6.820811933,7.740755371,5.547358579,1.919110569,0.726014239,-3.055712141,-0.081131137,2.992971754,0.461748658,1.939709293,3.20737927,2.258794318,0.564330761,1.081691292,-0.421021987,-0.289780673,0.493780783
4,-11.22836922,-0.867272834,4.318496905,7.760953427,8.289969274,9.827441231,9.209936923,8.209580539,8.226484763,4.923412315,2.163300273,0.988857636,0.252161383,2.217780276,0.486436256,-0.856868435,1.662315493,4.39887302,1.356622936,0.364766853,-1.245769649,-0.913801432,0.805249643,0.596323803
4,-8.889941588,2.417622038,5.245977559,6.001606496,5.425832598,9.935694725,7.051128168,5.036637442,6.345736897,3.271985202,2.130007309,1.232659893,2.348971548,2.729367515,-0.836829499,-3.698959543,-0.585024612,1.359428492,-0.702053065,0.411320462,-1.169504126,0.475061736,0.951967733,0.465323602
4,-7.586505776,3.399783402,4.317747941,5.419886513,7.822009531,6.14673518,3.259476573,7.846410506,7.218837739,5.644125925,3.666146927,1.284285282,3.863953885,3.26702446,-1.18191287,-1.186195238,-0.232350098,-3.347710918,-1.687903071,-3.091278271,-2.254579296,0.081754103,0.157986337,0.123178309
4,-8.061565382,2.535651703,2.977439855,3.795461329,6.148019026,8.198951807,6.606967428,7.619377642,6.490322694,5.899594378,2.595638842,1.276285819,2.948093671,0.499435456,-2.443735416,0.9059835,1.734281818,-2.453712537,-0.180434573,-2.661436761,-0.680991024,-0.898717148,0.14994807,-0.116214601
4,-5.846626497,3.974249023,3.679896451,7.084733153,7.580350913,5.674246313,6.900162686,2.281293032,4.772322921,3.73223888,2.167464013,1.151812137,2.874770777,-0.12625922,-1.45136201,-0.445059334,-0.738987746,0.02422364,2.027205154,-3.624203652,-0.628481346,-2.700573807,-0.41026048,-0.406862545
4,-5.337740721,2.879542411,1.899300179,6.528158425,8.148084635,6.491370354,4.960133252,3.827041038,6.54750777,2.879853002,3.104270872,1.124574564,1.831329566,-1.271742437,0.680188377,0.409815982,-2.660179349,-1.484620084,2.961643113,-0.938827785,0.659403409,-1.467190055,0.348533834,-0.505660046
4,-4.636261941,3.038449219,2.679774764,3.385948963,5.713495108,7.036861367,7.123701392,4.30627333,6.247523182,3.103135902,2.796440193,0.749847091,-0.278333578,-2.473665532,1.086625942,-1.829763717,-4.249469037,-2.089661392,3.678250928,4.101904823,0.77986294,0.189204938,-0.073946262,-0.248475104
4,-5.919753312,1.095937949,4.497783265,6.259577397,3.091177904,5.290714153,10.93766275,5.198645815,6.741827677,4.013360786,2.803951503,0.718778273,-1.317651944,-1.417456731,1.677382696,-1.138050144,-2.955548373,-3.206292167,2.732271016,3.980384714,0.089577902,1.313412892,-1.071731525,-0.244378677
4,-5.973120568,1.155552956,4.010593821,4.474378092,3.734600723,3.140082325,9.428774332,7.748347879,5.844957378,3.449292396,2.206704305,0.981997628,-1.239522851,-0.268351436,-0.260499592,1.998034582,-2.476425767,-0.546046516,-3.2062947,3.139748669,0.335059569,-0.212023168,-0.679152307,-0.087278879
