label,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X
1,-14.82713171,-3.001085509,1.520907785,3.95534843,-1.09918021,2.067763382,2.231175073,-0.958397784,-2.51605503,2.603595306,0.974574994,-0.042303649,-0.69738752,2.229480635,3.400568859,0.661318948,-2.766376057,-2.527009618,-0.887411065,-0.617081173,1.347468259,1.422359113,0.941647983,0.213976743
1,-16.22886124,-2.801874337,-0.4108157,1.475466945,-1.898391762,0.085249299,3.726984696,3.293377664,3.411859085,3.382681788,1.338937012,0.046771212,-0.946196864,0.739742479,0.856266145,-2.322850576,-0.489825818,-0.005019418,-1.447650139,1.317828565,2.688265833,0.242777233,-0.013173296,0.320707761
1,-15.1242838,-2.59871264,-0.359965674,1.345837635,-0.348832715,1.971445481,3.553833092,2.349538464,1.702097562,2.449490674,0.388313187,0.248380871,-1.799483191,-0.127619908,-0.621471441,-2.087711047,3.052957727,-0.632225998,-3.46312134,2.745614701,3.066272703,-0.28159394,-0.228980228,0.596002471
1,-15.70314246,-2.530056621,0.255003254,-0.179334986,0.947238982,3.381178114,0.231523797,2.729425359,1.447020346,2.077171226,0.265705968,0.288240019,-1.944158135,-1.106784491,-0.107418564,-1.012980144,1.677291999,-1.426028189,-2.729764054,-0.134799784,1.312433813,0.05552152,-0.097415899,0.491487215
1,-17.78921589,-3.32842423,0.255791146,1.651182824,2.057441009,-0.528540022,-1.215776488,3.442000421,3.065773395,2.833959677,1.167720174,0.730965653,-0.617565947,-1.394926889,-0.417163865,-1.088381301,0.635618885,-2.002649251,-1.89448279,-0.523284796,1.364342504,-0.099304816,0.513488522,0.284900928
1,-17.8126324,-4.09719528,-0.879821957,-0.196675865,-0.585590625,-0.803800233,2.017143405,2.54494701,4.698671888,3.273729567,0.80310967,0.542709644,1.050090597,0.100962308,-1.170871164,-1.303365959,-2.056357608,0.287785445,2.35266877,0.071886439,0.237370344,-0.884181152,0.923284061,0.193051115
1,-14.99588775,-3.907533643,-0.418298866,-0.278063877,1.371010416,1.059960778,-0.180700896,1.656850444,2.122785547,1.70225428,0.889844119,0.548497451,2.304719127,0.848640278,-0.449746057,-0.386692153,-1.798703457,4.838405881,5.420999075,0.532375458,-1.682200067,-2.360574486,-0.330072027,-0.27381209
1,-15.52467063,-2.089058453,-1.164258485,-1.169760573,-1.794082133,3.018605881,3.242989157,3.729830006,2.274569785,1.316752197,1.789570087,0.669050793,0.667252206,0.278460893,0.842689345,2.432996796,1.642301658,5.984818673,5.589723021,2.708491728,-2.323164999,-2.183681895,-0.152151713,-0.507958239
1,-15.47611809,-3.059532226,-0.276609675,1.557686949,-0.036368423,4.817865742,6.302799249,3.64812211,1.754524346,0.271586632,0.179381925,0.257076944,-1.191382032,1.107387021,-0.631235446,1.709977887,4.195563041,3.654041872,3.905372264,0.326565451,-0.828762635,0.199500025,-0.613048193,-0.664297681
1,-16.57163893,-4.103504648,0.313367464,2.534943916,2.581551281,6.294475295,7.159977865,5.612048769,1.39805499,0.713540548,0.930113198,-0.073517461,0.306805861,1.783826017,-2.567384084,1.836757828,5.8141591,0.054687697,-2.89971848,-2.213574343,-0.768312253,1.624828195,-0.817890328,-0.20206052
1,-16.25947665,-1.239230014,-2.10396501,0.43455071,5.47653827,4.903088879,3.718863146,1.205589239,1.317898993,2.303110142,0.400000274,-0.076664943,1.783810678,3.524623747,-3.66690895,-2.424896153,0.443494055,-2.643591159,-6.620127812,-0.198585505,-1.535715445,1.568702164,0.178641997,0.364326549
